GeneID	Symbol	Synonyms	description	type_of_gene
16216568	ND2	-	NADH dehydrogenase subunit 2	protein-coding
16216569	COX1	-	cytochrome c oxidase subunit I	protein-coding
16216570	COX2	-	cytochrome c oxidase subunit II	protein-coding
16216571	ATP8	-	ATP synthase F0 subunit 8	protein-coding
16216572	ATP6	-	ATP synthase F0 subunit 6	protein-coding
16216573	COX3	-	cytochrome c oxidase subunit III	protein-coding
16216574	ND3	-	NADH dehydrogenase subunit 3	protein-coding
16216575	ND4L	-	NADH dehydrogenase subunit 4L	protein-coding
16216576	ND4	-	NADH dehydrogenase subunit 4	protein-coding
16216577	ND6	-	NADH dehydrogenase subunit 6	protein-coding
16216578	CYTB	-	cytochrome b	protein-coding
16216579	ND5	-	NADH dehydrogenase subunit 5	protein-coding
16216580	ND1	-	NADH dehydrogenase subunit 1	protein-coding
38278547	NEWENTRY	-	Record to support submission of GeneRIFs for a gene not in Gene (Helicophagus hypophthalmus; Pangasius hypophthalmus; Pangasius sutchi; Sutchi catfish; Thailand catfish; iridescent shark-catfish; striped catfish).	other
113523648	med23	-	mediator complex subunit 23	protein-coding
113523649	cdc6	-	cell division cycle 6 homolog (S. cerevisiae)	protein-coding
113523651	LOC113523651	nptx1	neuronal pentraxin-1	protein-coding
113523653	rhbdl3	-	rhomboid, veinlet-like 3 (Drosophila)	protein-coding
113523654	LOC113523654	-	uncharacterized LOC113523654	ncRNA
113523655	LOC113523655	-	plakophilin-4	protein-coding
113523656	cd7al	-	cd7 antigen-like	protein-coding
113523658	LOC113523658	endov	endonuclease V	protein-coding
113523659	tefm	-	transcription elongation factor, mitochondrial	protein-coding
113523660	LOC113523660	-	E3 ubiquitin-protein ligase RNF135	protein-coding
113523661	utp6	-	UTP6 small subunit processome component	protein-coding
113523662	dgke	-	diacylglycerol kinase, epsilon	protein-coding
113523663	LOC113523663	-	membrane-spanning 4-domains subfamily A member 15	protein-coding
113523664	LOC113523664	-	membrane-spanning 4-domains subfamily A member 15	protein-coding
113523665	si:ch211-188c18.1	-	uncharacterized si:ch211-188c18.1	protein-coding
113523666	kdf1a	-	keratinocyte differentiation factor 1a	protein-coding
113523667	LOC113523667	-	endonuclease domain-containing 1 protein-like	protein-coding
113523669	eomesb	-	eomesodermin homolog b	protein-coding
113523670	cmc1	-	C-x(9)-C motif containing 1	protein-coding
113523672	azi2	-	5-azacytidine induced 2	protein-coding
113523673	cndp1	zgc:114181	carnosine dipeptidase 1	protein-coding
113523674	tbx20	-	T-box transcription factor 20	protein-coding
113523675	septin9b	sept9b	septin 9b	protein-coding
113523676	tnrc6c2	-	trinucleotide repeat containing adaptor 6C2	protein-coding
113523677	LOC113523677	-	uncharacterized LOC113523677	protein-coding
113523678	LOC113523678	-	G-protein coupled receptor 35-like	protein-coding
113523679	rhot1b	-	ras homolog family member T1	protein-coding
113523680	suz12b	-	SUZ12 polycomb repressive complex 2 subunit b	protein-coding
113523681	card14	-	caspase recruitment domain family, member 14	protein-coding
113523682	ccdc40	-	coiled-coil domain 40 molecular ruler complex subunit	protein-coding
113523683	p4hb	-	prolyl 4-hydroxylase, beta polypeptide	protein-coding
113523684	rptor	-	regulatory associated protein of MTOR, complex 1	protein-coding
113523685	si:dkey-237i9.1	-	SEC14-like protein 1	protein-coding
113523686	LOC113523686	-	uncharacterized LOC113523686	protein-coding
113523687	LOC113523687	-	uncharacterized LOC113523687	protein-coding
113523688	LOC113523688	-	uncharacterized LOC113523688	protein-coding
113523690	trim25	-	tripartite motif containing 25	protein-coding
113523691	pecam1b	si:dkey-237i9.8	platelet and endothelial cell adhesion molecule 1b	protein-coding
113523693	LOC113523693	-	E3 SUMO-protein ligase CBX4	protein-coding
113523694	rab11fip4b	-	RAB11 family interacting protein 4 (class II) b	protein-coding
113523695	cbx8b	-	chromobox homolog 8b	protein-coding
113523696	LOC113523696	-	mapk-regulated corepressor-interacting protein 1	protein-coding
113523697	LOC113523697	-	endonuclease domain-containing 1 protein	protein-coding
113523698	atad5b	-	ATPase family AAA domain containing 5b	protein-coding
113523699	LOC113523699	-	endonuclease domain-containing 1 protein-like	protein-coding
113523700	ppp1r27b	ppp1r27	protein phosphatase 1, regulatory subunit 27b	protein-coding
113523701	LOC113523701	-	uncharacterized LOC113523701	protein-coding
113523702	c2h17orf67	cunh17orf67	chromosome 2 C17orf67 homolog	protein-coding
113523703	plxna1b	plxna1	plexin A1b	protein-coding
113523704	anapc11	-	APC11 anaphase promoting complex subunit 11 homolog (yeast)	protein-coding
113523705	ncoa7a	-	nuclear receptor coactivator 7a	protein-coding
113523706	LOC113523706	-	membrane-spanning 4-domains subfamily A member 4A-like	protein-coding
113523707	LOC113523707	-	membrane-spanning 4-domains subfamily A member 4A	protein-coding
113523709	wdtc1	-	WD and tetratricopeptide repeats 1	protein-coding
113523710	znf207b	-	zinc finger protein 207, b	protein-coding
113523711	LOC113523711	-	membrane-spanning 4-domains subfamily A member 4A	protein-coding
113523714	ska2	-	spindle and kinetochore associated complex subunit 2	protein-coding
113523715	zgc:153345	-	uncharacterized LOC113523715	protein-coding
113523716	mdh2	-	malate dehydrogenase 2, NAD (mitochondrial)	protein-coding
113523717	LOC113523717	-	C2 domain-containing protein 2	protein-coding
113523721	prr35	-	proline rich 35	protein-coding
113523722	LOC113523722	-	pentraxin fusion protein-like	pseudo
113523723	LOC113523723	-	pentraxin fusion protein-like	protein-coding
113523724	LOC113523724	-	pentraxin fusion protein-like	pseudo
113523725	luc7l	-	LUC7-like (S. cerevisiae)	protein-coding
